id;path;orch_composer;orch_song;orch_audio_path;solo_composer;solo_song;solo_audio_path
58;imslp/58;marc-antoine charpentier;David Et Jonathas Ouverture;;;David Et Jonathas Ouverture;
59;imslp/59;marc-antoine charpentier;David Et Jonathas Ouverture;;;David Et Jonathas Ouverture;
60;imslp/60;jeremiah clarke;Prince of Denmark's March;;;Prince of Denmark's March;
61;imslp/61;arcangelo corelli;Concerto grosso in G minor 'Fatto per la Notte di Natale', Op.6 No.8;;;Concerto grosso in G minor 'Fatto per la Notte di Natale', Op.6 No.8;
62;imslp/62;;Suite in E major, HWV 430;;george frideric handel;Suite in E major, HWV 430;
63;imslp/63;;Canite Tuba;;francisco guerrero;Canite Tuba;
64;imslp/64;wolfgang amadeus mozart;Vesperae solennes de confessore, K.339;;;Vesperae solennes de confessore, K.339;
65;imslp/65;wolfgang amadeus mozart;Vesperae solennes de confessore, K.339;;;Vesperae solennes de confessore, K.339;
66;imslp/66;wolfgang amadeus mozart;Vesperae solennes de confessore, K.339;;;Vesperae solennes de confessore, K.339;
67;imslp/67;;brandeburg_concert_1046_1;;johann sebastian bach;brandeburg_concert_1046_1;
68;imslp/68;;Suite in E major, HWV 430;;george frideric handel;Suite in E major, HWV 430;
71;imslp/71;;Fugue in C major;;johann pachelbel;Fugue in C major;
72;imslp/72;henry francis lyte;Abide with Me;;;Abide with Me;
73;imslp/73;giovanni pierluigi da palestrina;Ricercari sopra li Tuoni;;;Ricercari sopra li Tuoni;
74;imslp/74;;Canzona in D Minor;;johann sebastian bach;Canzona in D Minor;
75;imslp/75;;Cello Suite No.1 in G major, BWV 1007;;johann sebastian bach;Cello Suite No.1 in G major, BWV 1007;
76;imslp/76;;Consolations, S.172;;franz liszt;Consolations, S.172;
77;imslp/77;michael praetorius;Bransle de la Royne, TMA 17;;;Bransle de la Royne, TMA 17;
78;imslp/78;michael praetorius;Bransle de la Royne, TMA 17;;;Bransle de la Royne, TMA 17;
79;imslp/79;johann georg ebeling;Ich steh an deiner Krippe;;;Ich steh an deiner Krippe;
80;imslp/80;johann sebastian bach;Christ lag in Todesbanden, BWV 4;;;Christ lag in Todesbanden, BWV 4;
82;imslp/82;michael praetorius;Es ist ein Ros entsprungen (Lo, How a Rose Eer Blooming);;;Es ist ein Ros entsprungen (Lo, How a Rose Eer Blooming);
83;imslp/83;michael praetorius;Es ist ein Ros entsprungen (Lo, How a Rose Eer Blooming);;;Es ist ein Ros entsprungen (Lo, How a Rose Eer Blooming);
84;imslp/84;michael praetorius;Es ist ein Ros entsprungen (Lo, How a Rose Eer Blooming);;;Es ist ein Ros entsprungen (Lo, How a Rose Eer Blooming);
86;imslp/86;jacob arcadelt;Il vagh'e dolce sguardo;;;Il vagh'e dolce sguardo;
87;imslp/87;;French Suite No.5 in G major, BWV 816;;johann sebastian bach;French Suite No.5 in G major, BWV 816;
